"x","y","z","D","B"
6.42240672904311,-1.75349136110471,1.17815063973712,4,0
-0.942176894886382,-9.42569967503042,0.536383361828498,8,1
-7.07088516253096,-1.70921790803976,0.38658864632088,1,0
0.637807288212574,7.16610032013493,-0.890803903176993,6,0
-2.78931545164457,7.17402004500601,-1.80427491442936,2,0
-1.18386527464203,-6.63744100117936,3.89172126148925,8,1
1.07720950823246,7.6325574267488,0.309076413956549,7,0
-3.39983261180757,6.91354351283254,1.72324642985448,3,0
7.8042019518557,-1.854736319016,0.574364134181633,5,1
-2.15541189113,6.57570063378086,2.08731217636599,6,0
-5.32145917758905,-7.70839776637852,-0.324702274112646,4,1
-8.99717390899926,-1.95239926866428,0.687168247779138,1,1
7.40738386917208,1.52670929377687,-2.50411827055627,8,0
2.41978838727943,8.07084056089376,-1.25292642789249,6,0
4.88851907406044,-6.19598964951664,-2.23112804849673,5,1
-4.41311789599787,-5.62499259552151,-0.35830344209036,3,0
-7.11557827505141,0.103157353961653,-0.17689557618568,4,1
-9.54080224411628,-2.00002542222515,1.78493986142011,1,0
0.45890821976383,8.19137512886043,0.95924937955484,7,0
3.45383581817104,-6.01283360571495,1.53122351597611,6,1
0.705122616468299,9.06992531590812,-1.4614534815655,1,0
-3.71960305200319,7.28723729470007,0.102618279233486,1,0
8.30987193150093,-2.73577273754184,-2.06472728502727,5,0
5.83642933544337,3.97835373895443,-5.99168312583337,5,1
7.20074928621902,6.54748510032517,1.70663576873934,1,0
-7.75459985674907,-0.582038662806453,1.02161480127441,2,0
7.62616132592638,-2.03507486690261,5.70071208787168,4,0
-1.41517372265064,5.97019673494452,0.348584091584703,4,0
7.26603077439167,-1.55255761000522,-1.64875828865286,4,0
5.20217471178655,7.88521176241116,-0.623385888910366,1,1
-7.5650457637489,1.64622872045475,0.695409641741467,1,0
-8.81737619027758,-1.43406519144518,-0.696768379316215,3,0
24.2492398150962,3.16119530148225,5.01979803169105,8,1
0.678629347899755,7.0743328560478,-1.46092605569902,4,1
-1.29652493985767,-6.69853757778857,0.59549281899316,5,1
3.72729221458083,7.91815259245613,1.28217871044215,7,1
-5.8680797973281,-5.06126658776783,2.43272247294166,6,0
-7.0306667148887,5.6856899914284,-2.6572131886666,1,0
-9.45671321853859,-2.75831134659384,0.308073833600724,4,1
-9.39462655389321,0.387566362248883,-2.35979450662069,1,0
2.27208112368516,5.75224601902247,0.0615058397235337,4,1
8.55894092478057,-0.240246643893003,1.23124876704378,8,1
8.1684870935966,3.99536207596405,0.778333641834748,8,0
3.02315887161842,-7.47924688283932,0.542743633013853,3,0
-6.90416402457299,-0.474719559573455,-1.80101152392106,5,0
-2.73594339049014,-6.93239303615066,-1.04515943371819,4,0
4.34529921509484,6.6793281747487,-0.608533633308146,2,0
3.14225617074331,-7.62157138689274,1.70105904084624,4,0
-7.7317663778382,-5.26876550241832,-0.50787644704364,1,0
-1.29284100128557,-7.93697653191092,-1.82391295367316,2,0
-3.54000400565691,-6.65720560407911,0.344876355910331,3,0
0.738076846374046,9.07112258123786,-0.929533965890747,4,0
7.61345920258985,3.34698529957404,-0.346378443087917,5,0
-5.56231960222813,7.86517562559641,-0.241579090620888,4,0
-0.855999658854209,-8.29522063758186,-0.417849989767674,1,0
7.73920637001554,3.07361562145985,-0.0913468524519552,8,1
6.8825211039744,-1.92805343128454,0.899055843084379,2,0
5.8467737504434,-5.70158015780876,0.934060647684823,8,1
1.40183191759348,-8.13143090194456,1.28976652260544,3,0
-4.54134869366393,4.9804697554945,-1.02529893422782,2,0
-3.94901277286562,-6.1114370657937,-1.31784725574239,3,0
